time,symbol,weight
2025-07-22,AVAX,0.1362051328099283
2025-07-22,BTC,0.15912451477005812
2025-07-22,DOGE,0.07785848246531683
2025-07-22,DOT,0.14983720952771223
2025-07-22,ETH,0.12031560468961848
2025-07-22,LINK,0.038250805245248515
2025-07-22,MATIC,0.12634798709368286
2025-07-22,SOL,0.1633517977201428
2025-07-22,XRP,0.02870846567829188
2025-07-29,AVAX,0.11091983026935888
2025-07-29,BTC,0.524728981855619
2025-07-29,DOGE,-0.10422276805486878
2025-07-29,DOT,0.0651397655102266
2025-07-29,ETH,0.326897663408477
2025-07-29,LINK,-0.1286359631821961
2025-07-29,MATIC,0.15519262725249724
2025-07-29,SOL,0.09559432471424449
2025-07-29,XRP,-0.04561446177335815
2025-08-05,AVAX,0.011402294454152763
2025-08-05,BTC,0.7927477729416756
2025-08-05,DOGE,-0.10461690840470467
2025-08-05,DOT,0.18934060223040838
2025-08-05,ETH,0.2724878896465924
2025-08-05,LINK,-0.334236376569535
2025-08-05,MATIC,0.17847455015438882
2025-08-05,SOL,-0.0011640060946792477
2025-08-05,XRP,-0.004435818358299218
