time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,symbol,return,volatility,momentum,tssi,sentiment_disagreement,article_volume,sentiment_momentum,msi
2025-07-21,26.47,24.66,25.06,1220881.81,31414244.47,25.44,direct,,AVAX,0.015163607342378427,0.026836447511379695,0.08071367884451996,0.53685,0.17325585665906554,0.0,0.53685,0.733296
2025-07-22,26.09,24.73,25.44,1972287.78,49860403.78,25.9,direct,,AVAX,0.01808176100628911,0.022826467192731306,0.05671154630762931,0.53685,0.17325585665906554,0.0,0.53685,0.733296
2025-07-23,26.12,23.17,25.9,1410307.36,34628354.15,23.96,direct,,AVAX,-0.07490347490347482,0.042978396661508364,-0.043894652833200265,0.53685,0.17325585665906554,0.0,0.53685,0.733296
2025-07-24,24.45,22.56,23.96,904368.89,21449689.12,23.67,direct,,AVAX,-0.012103505843071738,0.0382157398205573,-0.06957547169811318,0.53685,0.17325585665906554,0.0,0.53685,0.733296
2025-07-25,24.03,22.87,23.67,672961.71,15766784.41,24.0,direct,,AVAX,0.0139416983523446,0.03792250806180668,-0.07335907335907332,0.53685,0.17325585665906554,0.0,0.53685,0.733296
2025-07-26,25.77,23.86,24.0,743473.08,18443350.52,24.93,direct,,AVAX,0.03875000000000006,0.03752366028110249,0.04048414023372282,0.53685,0.17325585665906554,0.0,0.53685,0.733296
2025-07-27,26.46,24.76,24.93,819923.14,20791123.34,26.06,direct,,AVAX,0.04532691536301647,0.04038267253488779,0.10097169412758755,0.53685,0.17325585665906554,0.0,0.53685,0.733296
2025-07-28,27.38,25.0,26.06,1584941.16,41850357.89,25.19,direct,,AVAX,-0.033384497313890926,0.042712863690535216,0.04958333333333331,0.53685,0.17325585665906554,0.0,0.53685,0.733296
2025-07-29,25.51,23.88,25.19,1106748.44,27238272.81,24.37,direct,,AVAX,-0.03255260023818973,0.043302640756262945,-0.022462896109105457,0.53685,0.17325585665906554,0.0,0.53685,0.733296
2025-07-30,24.5,22.42,24.37,963127.78,22577474.33,23.31,direct,,AVAX,-0.04349610176446461,0.036249254014886455,-0.10552570990023025,0.53685,0.17325585665906554,0.0,0.53685,0.733296
2025-07-31,24.11,22.4,23.31,689890.16,16012014.57,22.48,direct,,AVAX,-0.03560703560703549,0.0382286305635253,-0.10758237395791981,0.53685,0.17325585665906554,0.0,0.53685,0.733296
2025-08-01,22.58,21.03,22.48,1327037.84,29122839.5,21.53,direct,,AVAX,-0.042259786476868344,0.039059368006834114,-0.11653672548215022,0.53685,0.17325585665906554,0.0,0.53685,0.733296
2025-08-02,21.81,20.66,21.53,674150.98,14270201.85,20.85,direct,,AVAX,-0.0315838365071992,0.03127507319320248,-0.10553410553410547,0.53685,0.17325585665906554,0.0,0.53685,0.733296
2025-08-03,21.54,20.58,20.85,311484.91,6627572.76,21.37,direct,,AVAX,0.02494004796163063,0.02368524584810005,-0.04937722419928825,0.53685,0.17325585665906554,0.0,0.53685,0.733296
2025-08-04,23.13,21.35,21.37,1481466.38,33069137.39,23.11,direct,,AVAX,0.08142255498362183,0.04718730311886886,0.07338597306084527,0.53685,0.17325585665906554,0.0,0.53685,0.733296
2025-08-05,23.13,21.43,23.11,671526.12,14934811.47,21.92,direct,,AVAX,-0.05149286023366495,0.0491124490345418,0.05131894484412469,0.53685,0.17325585665906554,0.0,0.53685,0.733296
2025-08-06,22.39,21.57,21.92,566870.24,12496469.75,22.23,direct,,AVAX,0.014142335766423209,0.04816782602356091,0.040243331773514246,0.53685,0.17325585665906554,0.0,0.53685,0.733296
